meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Mixed,FodderHerb_Residue,Dairy,Dairy,2.51558,5.74963,6.81081,7.18609,7.90654,8.89342,9.93955,10.9664,12.0458,13.1048,14.0839,14.966,15.68,16.2428,16.6594,16.968,17.1406,17.2129,17.2119,17.1557,17.0019,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Mixed,FodderHerb_Residue,Pork,Pork,0.00237831,0.00262705,0.0012497,0.00102318,0.00108807,0.00130004,0.00146181,0.00159847,0.0017237,0.00180975,0.00184996,0.00186787,0.0018586,0.00183507,0.00180684,0.00175549,0.00168406,0.00160891,0.00153226,0.00145658,0.00138286,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.430095,0.688012,0.750486,0.92537,1.00822,1.18074,1.34418,1.51853,1.70217,1.88835,2.06288,2.22632,2.35677,2.46541,2.55255,2.62124,2.67461,2.71917,2.75694,2.79206,2.81,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.111004,0.146252,0.168621,0.198268,0.219337,0.254469,0.290402,0.329894,0.371901,0.415078,0.457343,0.49774,0.534224,0.566883,0.595189,0.619744,0.640621,0.658449,0.673567,0.686066,0.694655,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Mixed,Pasture_FodderGrass,Beef,Beef,0.220279,0.349131,0.434779,0.511619,0.555156,0.633461,0.707641,0.788743,0.877263,0.969334,1.05822,1.14478,1.22056,1.28554,1.33928,1.38123,1.41536,1.44413,1.46473,1.47646,1.48139,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Mixed,Pasture_FodderGrass,Dairy,Dairy,0.929028,1.49661,1.80277,1.93533,2.07369,2.24428,2.40608,2.53484,2.68267,2.83192,2.96526,3.09454,3.19346,3.2554,3.29288,3.30331,3.29433,3.27458,3.23608,3.1789,3.11426,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Mixed,Pasture_FodderGrass,SheepGoat,SheepGoat,0.194726,0.256092,0.300311,0.359374,0.396197,0.457666,0.518978,0.584785,0.654514,0.726048,0.795526,0.862478,0.922588,0.975353,1.02067,1.05872,1.0908,1.11826,1.14045,1.15717,1.1681,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Mixed,Scavenging_Other,Beef,Beef,0.0314865,0.0501462,0.0626591,0.074055,0.081464,0.0953681,0.108777,0.123674,0.140007,0.157145,0.173619,0.189296,0.202675,0.21426,0.223644,0.230656,0.235805,0.23979,0.242596,0.244439,0.244871,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Mixed,Scavenging_Other,Dairy,Dairy,0.234126,0.50143,0.60461,0.650428,0.692011,0.745872,0.789985,0.816875,0.864246,0.917507,0.960509,0.996514,1.01525,1.02029,1.0153,0.997999,0.969605,0.937414,0.903605,0.870482,0.83536,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Mixed,Scavenging_Other,SheepGoat,SheepGoat,0.0389741,0.0511841,0.0600255,0.071895,0.079708,0.0930966,0.106561,0.121181,0.136772,0.15287,0.168486,0.183409,0.196647,0.208321,0.218254,0.226437,0.233081,0.238598,0.243052,0.246554,0.248681,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Pastoral,Pasture_FodderGrass,Beef,Beef,0.0247934,0.039684,0.0408128,0.0416602,0.045164,0.0515589,0.0574171,0.063662,0.0704748,0.0775686,0.0843464,0.0910029,0.0967464,0.101549,0.105446,0.108278,0.110502,0.112369,0.113539,0.11395,0.113912,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Pastoral,Pasture_FodderGrass,Dairy,Dairy,0.180564,0.364125,0.389708,0.372593,0.387789,0.396945,0.406641,0.41133,0.413464,0.415903,0.420599,0.429733,0.439941,0.446098,0.451614,0.45651,0.463522,0.471606,0.476046,0.474835,0.474269,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Pastoral,Pasture_FodderGrass,SheepGoat,SheepGoat,0.037702,0.0506165,0.0499579,0.0513519,0.0566236,0.0655683,0.0743916,0.0838049,0.0937903,0.104055,0.113984,0.123576,0.132101,0.139528,0.145861,0.151061,0.155387,0.159078,0.162001,0.164151,0.165491,Mt,
